,Work Title,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Composer Time Period,Piece Style,Instrumentation,url,Alternative Title,Year/Date of Composition,Name Translations,Authorities,Average Duration,First Publication,Dedication,Name Aliases,Language,Copyright Information
53763,"German Dance, D.722","Schubert, Franz",D.722,IFS 264,G-flat major,1 dance,Romantic,Romantic,Piano,"https://imslp.org/wiki/German_Dance,_D.722_(Schubert,_Franz)",,,,,,,,,,
12829,Allegretto,"Beethoven, Ludwig van",WoO 61,ILB 12,B minor,Allegretto,Classical,Classical,Piano,"https://imslp.org/wiki/Allegretto,_WoO_61_(Beethoven,_Ludwig_van)",,1821,,,,,,,,
01027,Prelude and Fugue No.23 in B major,"Bach, Johann Sebastian",BWV 868 ; BC L 102,IJB 492,B major,"2 movements:
Præludium
Fuga",Baroque,Baroque,Piano,"https://imslp.org/wiki/Prelude_and_Fugue_in_B_major,_BWV_868_(Bach,_Johann_Sebastian)",Praeludium et Fuga a 4 voci,"1722 in
Das wohltemperierte Klavier I, BWV 846-869
(No.23)","Präludium und Fuge H-Dur BWV 868
;
Prélude et fugue en si majeur (BWV 868)
;
Прелюдия и фуга си мажор, BWV 868","GND
:
1076375707
;
BNF
:
139449294",3 minutes,".
1801",,,,
08982,Élégie sur des motifs du Prince Louis Ferdinand de Prusse,"Liszt, Franz",S.168 ; LW.A.94,IFL 88,A-flat major,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/%C3%89l%C3%A9gie_sur_des_motifs_du_Prince_Louis_Ferdinand_de_Prusse,_S.168_(Liszt,_Franz)",,"1842–43 (1st version)
1851 [2nd version)",,,,".
1843 (1st version)
1852 [2nd version)",Princess Augusta of Prussia (1780–1841),,,
03185,Piano Sonata No.25,"Beethoven, Ludwig van",Op.79,ILB 186,G major,"3 movements:
Presto alla tedesca (G major)
Andante (G minor)
Vivace (G major)",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.25,_Op.79_(Beethoven,_Ludwig_van)",Cuckoo or Sonatina ; Alla Tedesca,1809,"Piano Sonata No. 25
;
Klaviersonate Nr. 25
;
Sonata para piano n.º 25
;
Pianoarentzako 25. sonata
;
Sonate pour piano nº 25 de Beethoven
;
Sonata per pianoforte n. 25
;
ピアノソナタ第25番
;
Pianosonate nr. 25
;
Соната для фортепиано № 25
;
Соната для фортепіано № 25
;
Sonata per a piano núm. 25
;
Σονάτα για πιάνο No. 25
;
피아노 소나타 25번
;
第25號鋼琴奏鳴曲 (貝多芬)","Wikipedia
;
GND
:
300016824
;
BNF
:
14818518p",,".
1810",,"Piano Sonata No. 25 in G Major, Op. 79
;
Pianosonate nr. 25 (Beethoven)",,
51559,Waldszenen,"Schumann, Robert",Op.82,IRS 165,,"9 pieces:
Eintritt (Entry) (Nicht zu schnell.
= 132)
Jäger auf der Lauer (Hunters on the lookout) (Höchst lebhaft.
= 78)
Einsame Blumen (Lonely Flowers) (Einfach.
= 96)
Verrufene Stelle (Haunted Place) (Ziemlich langsam.
= 60)
Freundliche Landschaft (Friendly Landscape) (Schnell.
= 160)
Herberge (Wayside Inn) (Mäßig.
= 130)
Vogel als Prophet (Bird as Prophet) (Langsam. Sehr zart.
= 63)
Jagdlied (Hunting Song) (Rasch, kräftig.
= 120)
Abschied (Farewell) (Nicht schnell.
= 80)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Waldszenen_Op.82_(Schumann,_Robert)",Neun Klavierstücke,,"森の情景
;
Escenas del bosque","WorldCat
;
Wikipedia
;
VIAF
:
183913069
;
LCCN
:
n85219053
;
GND
:
300146876
;
BNF
:
13919058t",20 Minutes,".
1850/51 – Leipzig:
Bartholf Senff",Annette Preusser,"Scènes des bois
;
Scènes de la forêt
;
Waldszenen, op. 82
;
Waldszenen, Op. 82
;
Waldscenen, Op. 82",,
04023,Weihnachtsbaum,"Liszt, Franz","S.185a ; LW.A267 (1st version)
S.186 ; LW.A267 (2nd version)",IFL 423,,"12 pieces:
1st version, S.185a
Psallite (Altes Weihnacthen)
O heilige Nacht!
Die Hirten an der Krippe (In dulci jubilo)
Adeste fideles (gleichsam als Marsch der heiligen drei Konige)
Scherzoso
Reveille-Matin ('Wecker')
Schlummerlied
Alt-provenzalisches Noel [subtitle only]
Abendglocken [subtitle only]
Ehemals [subtitle only]
Ungarisch
Polnisch
2nd version, S.185b (only 1 - 11 survive)
3rd version, S.185c (entire set survives)
4th version, S.186
Altes Weihnacthslied (Psalite) / Old Christmas Song
O heilige Nacht! / O Holy Night
Die Hirten an der Krippe (In dulce jubilo) / The Shepherds at the Manger
Adeste fideles (Gleichsam als Marsch der heiligen drei Könige / March of the Three Holy Kings)
Scherzoso (Man zündet die Kerzen des Baumes an / Lighting the Candles on the Tree)
Carillon / Chimes
Schlummerlied / Slumber Song
Altes provenzalisches Weihnachtslied / Old Provençal Christmas Song
Abendglocken / Evening Bells
Ehemals / Old Times
Ungarisch / Hungarian
Polnisch / Polish",Romantic,Romantic,Piano,"https://imslp.org/wiki/Weihnachtsbaum,_S.186_(Liszt,_Franz)",Christmas Tree . 12 Klavierstücke z. leichter Spielart.,"1873–74 (S.185a)
1874–76 (S.186)",クリスマス・ツリー (リスト),"WorldCat
;
Wikipedia
;
VIAF
:
181034197
;
LCCN
:
n79127771
;
GND
:
300095244",,".
1882 (S.186)",Daniela von Bülow (1860–1940),"Christmas Tree
;
Arbre de Noël",,
04459,Liebesträume,"Liszt, Franz",S.541 ; LW.A103,IFL 223,,"3 nocturnes:
1. Hohe Liebe
2. Seliger Tod
3. Oh Lieb, so lang du lieben kannst",Romantic,Romantic,Piano,"https://imslp.org/wiki/Liebestr%C3%A4ume,_S.541_(Liszt,_Franz)",Drei Notturnos,1850,"愛の夢
;
Szerelmi álmok
;
Sogno d'amore
;
愛之夢
;
爱之梦
;
חלומות אהבה","WorldCat
;
Wikipedia
;
VIAF
:
178870506
;
LCCN
:
n81056514
;
GND
:
300094027
;
BNF
:
14792648x",,".
1850",,"Sueno de amor nº3
;
Liebestraum nº1
;
Liebestraum nº2
;
Sueño de amor n. 3
;
Liebestraum nº3
;
Liebestraum n 2
;
Liebestraum n 1
;
Sueños de amor
;
Liebestraum Nr. 3
;
Liebestraum n 3
;
Sueno de amor n º 3
;
Sueño de amor n 3
;
Sueño de amor n º 3
;
Sueno de amor n 3
;
Sueño de amor nº3
;
Liebesträume, S. 541
;
Liebestraum
;
3つの夜想曲
;
サール番号541",,
08414,Egoroff Variations,"Scriabin, Aleksandr",,IAS 6,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Egoroff_Variations_(Scriabin,_Aleksandr)",,1887,,,,".
1947-53",,,,
12048,Deux poèmes,"Scriabin, Aleksandr",Op.32,IAS 51,,"2 movements:
Andante cantabile (F
♯
major)
Allegro, con eleganzza, con fiducia (D major)",Romantic,Early 20th century,Piano,"https://imslp.org/wiki/2_Po%C3%A8mes,_Op.32_(Scriabin,_Aleksandr)",Two Poems,1903,,,,".
1904",,,,
