title,midi_path,composer
Piano Course,"../GiantMIDI/midis/Aaron, Michael, Piano Course, V8WvKK-1b2c.mid","Aaron, Michael"
L'espérance,"../GiantMIDI/midis/Abbot, John M., L'espérance, jH_bdZ_A4A0.mid","Abbot, John M."
"Kagayaki, Op.26 No.2","../GiantMIDI/midis/Abe, Sakari, Kagayaki, Op.26 No.2, TQo2iAbVkeM.mid","Abe, Sakari"
Lola Polka,"../GiantMIDI/midis/Abel, Frederic, Lola Polka, SLNJF0uiqRw.mid","Abel, Frederic"
3 Nocturnes,"../GiantMIDI/midis/Abramowitsch, A., 3 Nocturnes, LKK-7L2Ppw8.mid","Abramowitsch, A."
Allegro for Harpsichord,"../GiantMIDI/midis/Abramson, Joshua M., Allegro for Harpsichord, 5uTbh30TnMg.mid","Abramson, Joshua M."
Tardes em Lindóia,"../GiantMIDI/midis/Abreu, Zequinha, Tardes em Lindóia, HVUwldlbj5g.mid","Abreu, Zequinha"
"2 Pieces, Op.56","../GiantMIDI/midis/Achron, Joseph, 2 Pieces, Op.56, sNqKnJNxSOE.mid","Achron, Joseph"
"Symphonic Variations and Sonata, Op.39","../GiantMIDI/midis/Achron, Joseph, Symphonic Variations and Sonata, Op.39, RtRrQwO2Hng.mid","Achron, Joseph"
Evening Bells,"../GiantMIDI/midis/Adams, Arthur Henry, Evening Bells, ACpN7lrdCnE.mid","Adams, Arthur Henry"
Intermezzo,"../GiantMIDI/midis/Adams, Arthur Henry, Intermezzo, hY3VmvRMLsc.mid","Adams, Arthur Henry"
Hanky Pank,"../GiantMIDI/midis/Adams, Clifford, Hanky Pank, yvYoOmaNV8k.mid","Adams, Clifford"
Ink Splotch Rag,"../GiantMIDI/midis/Adams, Clifford, Ink Splotch Rag, uw7mUVsWUUU.mid","Adams, Clifford"
Afterwhiles,"../GiantMIDI/midis/Adams, Ernest Harry, Afterwhiles, bf_x_6zgwcs.mid","Adams, Ernest Harry"
