,Work Title,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Composer Time Period,Piece Style,Instrumentation,url,Alternative Title,First Publication,Name Translations,Name Aliases,Authorities,Year/Date of Composition,Dedication,Average Duration,Copyright Information,Language,Librettist
06407,Passacaglia in D minor,"Witt, Christian Friedrich",BWV Anh.182 (J. S. Bach),ICW 1,D minor,1,Baroque,Baroque,Piano,"https://imslp.org/wiki/Passacaglia_in_D_minor,_BWV_Anh.182_(Bach,_Johann_Sebastian)",,".
1894 or earlier",,,,,,,,,
51745,Piano Sonata No.20,"Beethoven, Ludwig van",Op.49 No.2,ILB 181,G major,"2 movements:
Allegro ma non troppo (G major)
Tempo di minuet (G major)",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.20,_Op.49_No.2_(Beethoven,_Ludwig_van)",Leichte Sonaten,".
1805","Piano Sonata No. 20
;
Sonate pour piano nº 20 de Beethoven
;
Sonata per pianoforte n. 20
;
ピアノソナタ第20番
;
Соната для фортепиано № 20
;
Соната для фортепіано № 20
;
Sonata per a piano núm. 20
;
Σονάτα για πιάνο No. 20
;
피아노 소나타 20번
;
Sonata para piano n.º 20
;
第20號鋼琴奏鳴曲 (貝多芬)","Piano Sonata No. 20 in G Major, Op. 49, No. 2","Wikipedia
;
BNF
:
148111611",1795-96,,,,,
05746,"Introduktion, Variationen und Fuge über ein Originalthema","Reger, Max",Op.73,IMR 244,,3 sections,Romantic,Early 20th century,Piano,"https://imslp.org/wiki/Variationen_und_Fuge_%C3%BCber_ein_Originalthema_(in_fis-Moll)_f%C3%BCr_Orgel,_Op.73_(Reger,_Max)",Variations and Fugue on an Original Theme,".
1904",Variationen und Fuge über ein Originalthema,Variationen und Fuge über ein Originalthema fis-Moll op. 73,,1903,Karl Straube zur Erinnerung an den 14. Juni 1903,,,,
00533,Barcarolle No.5,"Fauré, Gabriel",Op.66,IGF 11,F-sharp minor,1 barcarolle,Romantic,Romantic,Piano,"https://imslp.org/wiki/Barcarolle_No.5_Op.66_(Faur%C3%A9,_Gabriel)",,".
1893",,,,,Mme V. d'Indy,,,,
00752,Invention in E major,"Bach, Johann Sebastian",BWV 777 ; BC L 32,IJB 843,E major,1 invention,Baroque,Baroque,Piano,"https://imslp.org/wiki/Invention_in_E_major,_BWV_777_(Bach,_Johann_Sebastian)",Inventio 6,".
1801 in
15 Inventions
(No.6)",,,,"1723 in
Inventions and Sinfonias",,,,,
379726,6 Waltzes,"Beethoven, Ludwig van",Anh 14,ILB 335,see below,"6 Waltzes
Sehnsuchtwalzer, Valse, le désir. Moderato espressivo (A
♭
major)
Schmerzenwalzer. Appassionato (F minor)
Hoffnungswalzer. Risoluto (E
♭
major)
Geisterwalzer (A major)
Walzer. Con delicatezza (F major)
Walzer. Risoluto (D
♭
major)",Classical,Classical,Piano,"https://imslp.org/wiki/6_Waltzes,_Anh_14_(Beethoven,_Ludwig_van)",6 valses et une marche funèbre (see note),,,,,,,,,,
51560,Bunte Blätter,"Schumann, Robert",Op.99,IRS 17,,"14 pieces:
Stücklein
Stücklein
Stücklein
Albumblätter
Albumblätter
Albumblätter
Albumblätter
Albumblätter
Novellete
Präludium
Marsch
Abendmusik
Scherzo
Geschwindmarsch",Romantic,Romantic,Piano,"https://imslp.org/wiki/Bunte_Bl%C3%A4tter_Op.99_(Schumann,_Robert)",,,彩叶集,"Coloured Leaves
;
Hojas coloridas",Wikipedia,1836-49,,,,,
78311,Piano Sonata No.7,"Scriabin, Aleksandr",Op.64,IAS 35,,1 movement,Romantic,Romantic,Piano,"https://imslp.org/wiki/Piano_Sonata_No.7,_Op.64_(Scriabin,_Aleksandr)",White Mass,".
1912?","sonate pour piano nº 7 op.64
;
Piano Sonata No. 7
;
ピアノソナタ第7番 (スクリャービン)
;
Sonata per pianoforte n. 7
;
第7钢琴奏鸣曲 (斯克里亚宾)
;
피아노 소나타 7번
;
Sonata para piano n.° 7, Misa Blanca (Skriabin)","sonate n°7 « Messe blanche » op. 64 de Scriabine
;
sonate pour piano n°7 « Messe blanche » op. 64 de Scriabine
;
Messe blanche
;
白ミサ
;
Piano Sonata No. 7, Op. 64, ""Messe blanche""","WorldCat
;
Wikipedia
;
LCCN
:
no96063613
;
BNF
:
13919352k",1911,,,,,
03130,12 Ecossaises,"Schubert, Franz",D.299,IFS 166,,12 dances,Romantic,Romantic,Piano,"https://imslp.org/wiki/12_Ecossaises,_D.299_(Schubert,_Franz)",,".
1897 (Nos.1 to 8) ; 1912 (Nos.9 to 12)",,,,1815,,,,,
04870,Albumblatt in E major,"Liszt, Franz",S.164 ; LW.A66,IFL 6,E major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Albumblatt_in_E_major,_S.164_(Liszt,_Franz)",Feuille d'album No.1,".
1841",,,,1840,,30 seconds,,,
10492,2 Impromptus,"Scriabin, Aleksandr",Op.10,IAS 16,,2,Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Impromptus,_Op.10_(Scriabin,_Aleksandr)",,".
1895",,,,1894,,,,,
13065,Polka,"Balakirev, Mily",,IMB 36,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Polka_(Balakirev,_Mily)",,,,,,1857,,,,,
483861,"Nun komm, der Heiden Heiland","Buxtehude, Dietrich",BuxWV 211,IDB 121,G minor,1 chorale prelude,Baroque,Baroque,Piano,"https://imslp.org/wiki/Nun_komm,_der_Heiden_Heiland,_BuxWV_211_(Buxtehude,_Dietrich)",Now come heathen to our Saviour,".
1875-76",,,,,,,,,
117316,L'idée fixe,"Liszt, Franz",S.470a/1 [formerly S.395] ; LW.A16b,IFL 192,,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/L%27id%C3%A9e_fixe,_S.470a/1_(Liszt,_Franz)",Andante amoroso d'après une mélodie de Berlioz,".
1846",,,,1833,,,,,
328928,Valse des roses,"Ketterer, Eugène",Op.156,IEK 63,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Valse_des_roses,_Op.156_(Ketterer,_Eug%C3%A8ne)",,".
1865 – Paris:
E. et A. Girod
/ Mainz:
Schott",,,,,À Mademoiselle Marie Lefébure-Wély,,"Publication noted in the
Bibliographie de la France
(2d Series, Vol.9, No.28, 15 July 1865, p.325, reg. no.1555 – Girod).",,
506547,3 Stücke,"Jadassohn, Salomon",Op.98,ISJ 76,,"3 pieces
Elegie
Rhapsodie
Reigen",Romantic,Romantic,Piano,"https://imslp.org/wiki/3_St%C3%BCcke,_Op.98_(Jadassohn,_Salomon)",,".
1888 – Leipzig:
Robert Forberg",,,,,,,,,
03968,Trois morceaux de moyenne difficulté,"Lyapunov, Sergey",Op.40,ISL 29,,"3 pieces
Prélude
Elégie
Humoresque",Romantic,Romantic,Piano,"https://imslp.org/wiki/3_Pieces_of_Moderate_Difficulty,_Op.40_(Lyapunov,_Sergey)",,".
1910",,,,,,,,,
360578,"6 Sonatines faciles et doigtées, Op.410","Czerny, Carl",Op.410,ICC 231,,6 sonatines,Romantic,Romantic,Piano,"https://imslp.org/wiki/6_Sonatines_faciles_et_doigt%C3%A9es,_Op.410_(Czerny,_Carl)",,,,,,,,,,,
08278,"Reflexe, Op.76","Kirchner, Theodor",Op.76,ITK 46,,6,Romantic,Romantic,Piano,"https://imslp.org/wiki/Reflexe,_Op.76_(Kirchner,_Theodor)","Reflexe, 6 Waltzes for Piano",".
1886",,,,1886,,,,,
360576,Variations brillantes sur la 'tirolienne favorite' de l'Opéra Guillaume Tell de Rossini,"Czerny, Carl",Op.220,ICC 254,G major,8 sections,Romantic,Romantic,Piano,"https://imslp.org/wiki/Variations_brillantes_sur_la_%27tirolienne_favorite%27,_Op.220_(Czerny,_Carl)",,,,,,,,,,,
06018,Forest Idyls,"MacDowell, Edward",Op.19,IEM 13,,"4 pieces:
Forest Stillness (Waldesstille)
Play of the Nymphs (Spiel der Nymphen)
Reverie (Träumerei)
Dance of the Dryads (Driadentänz)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Forest_Idyls,_Op.19_(MacDowell,_Edward)",Wald-Idyllen ; vier Stücke für Pianoforte,".
1884 (Leipzig:
C.F. Kahnt
)",,,,by 1884,Marian Nevins,,,,
366496,"10 Silhouetten, Op.60","Reinhold, Hugo",Op.60,IHR 44,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/10_Silhouetten,_Op.60_(Reinhold,_Hugo)",,,,,,,,,,,
08431,Variations on a Theme by Robert Schumann,"Brahms, Johannes",Op.9,IJB 148,F-sharp minor,"17 sections:
Thema
. Ziemlich langsam
Variation 1
. L'istesso tempo
Variation 2
. Poco più moto
Variation 3
. Tempo di tema
Variation 4
. Poco più moto
Variation 5
. Allegro capriccioso
Variation 6
. Allegro
Variation 7
. Andante
Variation 8
. Andante (non troppo lento)
Variation 9
. Schnell
Variation 10
. Poco Adagio
Variation 11
. Un poco più animato
Variation 12
. Allegretto, poco scherzando - Presto
Variation 13
. Non troppo Presto
Variation 14
. Andante
Variation 15
. Poco Adagio
Variation 16
. [Adagio]",Romantic,Romantic,Piano,"https://imslp.org/wiki/Variations_on_a_Theme_by_Robert_Schumann,_Op.9_(Brahms,_Johannes)",Variationen über ein Thema von Robert Schumann,".
1854 (November) Leipzig:
Breitkopf und Härtel",Variationen über ein Thema von Robert Schumann op. 9,"Sechzehn Variationen über ein Thema von Robert Schumann
;
Variations on a Theme by Robert Schumann in F-sharp minor minor
;
Variations in F-sharp minor
;
Variations on a Theme by R. Schumann in F-sharp Minor, Op. 9
;
Brahms, Johannes, 1833-1897. Sechzehn Variationen über ein Thema von Robert Schumann
;
Brahms, Johannes, 1833-1897. Variaties op een thema van Robert Schumann, piano
;
Brahms, Johannes, 1833-1897. Variations on a theme by Robert Schumann, piano
;
Brahms, Johannes, 1833-1897. Variationen über ein Thema von Robert Schumann, piano, op. 9
;
Brahms, Johannes, 1833-1897. Sixteen variations on a theme by R. Schumann
;
Brahms, Johannes, 1833-1897. 16 Variationen über ein Thema von Robert Schumann
;
Brahms, Johannes, 1833-1897. 16 variations on a theme by R. Schumann
;
Brahms, Johannes, 1833-1897. Schumann-Variationen, piano","WorldCat
;
LCCN
:
n81144344",1854 May-September,"Clara Schumann
(1819–1896)",18 minutes,,,
