Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Librettist,Language,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
"Ach bleib bei uns, Herr Jesu Christ",,,,"Bach, Johann Sebastian",BWV 649 ; Op.5 No.5 ; BC K 26,IJB 1,B-flat major,1 chorale prelude,1747-48,"1748 ca. in
6 Choräle von verschiedener Art, Op.5
(No.5)",,,,God,3 minutes,Baroque,Baroque,"https://imslp.org/wiki/Ach_bleib_bei_uns,_Herr_Jesu_Christ,_BWV_649_(Bach,_Johann_Sebastian)"
"Ach bleib bei uns, Herr Jesu Christ",,,,"Bach, Johann Sebastian",BWV 253 ; BC F 35.1,IJB 1083,A major,1 chorale,1725 or before,"1785 in
Chörale der Sammlung C.P.E. Bach nach dem Druck von 1784-1787
(No.177)","Nikolaus Selnecker
(1530-1592)
Seth Calvisius
(1556-1615)",German,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach_bleib_bei_uns,_Herr_Jesu_Christ,_BWV_253_(Bach,_Johann_Sebastian)"
Ach Gott und Herr,,,,"Bach, Johann Sebastian","BWV 692 ; 692a ; Emans 7 ; BWV App C, S.705 ; BWV App C, p.705",IJB 907,C major,1 chorale prelude,,,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach_Gott_und_Herr,_BWV_692_(Bach,_Johann_Sebastian)"
Ach Gott und Herr (per canonem),,,,"Bach, Johann Sebastian",BWV 714 ; BC K 172 ; Emans 5,IJB 2,D major,1 chorale prelude (24 bars),1715?,1893 or before,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach_Gott_und_Herr,_BWV_714_(Bach,_Johann_Sebastian)"
Ach Gott und Herr,,,,"Bach, Johann Sebastian",BWV 255 ; BC F 2.1,IJB 1002,C major,1 chorale,1725 or before,"1784 in
Chörale der Sammlung C.P.E. Bach nach dem Druck von 1784-1787
(No.40)","Martin Rutilius
(1550-1618)",German,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach_Gott_und_Herr,_BWV_255_(Bach,_Johann_Sebastian)"
Ach Gott und Herr,,,,"Bach, Johann Sebastian","BWV 692 ; 692a ; Emans 7 ; BWV App C, S.705 ; BWV App C, p.705",IJB 907,C major,1 chorale prelude,,,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach_Gott_und_Herr,_BWV_692a_(Bach,_Johann_Sebastian)"
Ach Gott vom Himmel sieh darein,,,,"Bach, Johann Sebastian",BWV 741 ; BC K 135,IJB 931,D minor,1 chorale prelude (60 bars),,1847 or before,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach_Gott_vom_Himmel_sieh_darein,_BWV_741_(Bach,_Johann_Sebastian)"
"Ach Gott, erhör mein Seufzen und Wehklagen",,,,"Bach, Johann Sebastian",BWV 254 ; BC F 1.1,IJB 1084,D Dorian mode,1 chorale,1725 or before,"1785 in
Chörale der Sammlung C.P.E. Bach nach dem Druck von 1784-1787
(No.186)","Jakob Peter Schechs
(1607-1659)",German,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach_Gott,_erh%C3%B6r_mein_Seufzen_und_Wehklagen,_BWV_254_(Bach,_Johann_Sebastian)"
"Ach Gott, tu dich erbarmen",,,,"Bach, Johann Sebastian",BWV 1109 ; BC K 182 ; Emans 3,IJB 1035,D minor,1 chorale,1703-07?,"1790 ca. as part of the
Neumeister Chorales
, BWV 1090-1120 (No.24)",,,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach_Gott,_tu_dich_erbarmen,_BWV_1109_(Bach,_Johann_Sebastian)"
"Ach Gott, vom Himmel sieh darein","Ach Gott
;
Ach Gott, vom Himmel sieh darein, רי""ב 2
;
Ach Gott, vom Himmel sieh darein (BWV 2)",,"WorldCat
;
Wikipedia
;
VIAF
:
176284778
;
LCCN
:
n90705032
;
GND
:
300638345
;
BNF
:
13909540x
;
BNE
:
XX5063097","Bach, Johann Sebastian",BWV 2 ; BC A 98,IJB 3,G minor,"6 movements:
Chorus: Ach Gott, vom Himmel sieh darein
Recitativo (tenor): Sie lehren eitel falsche List
Aria (alto): Tilg, o Gott, die Lehren
Recitativo (bass): Die Armen sind verstört
Aria (tenor): Durchs Feuer wird das Silber rein
Chorale: Das wollst du, Gott, bewahren rein","1724 in Leipzig
First Perf
ormance
.
1724-06-18 in Leipzig",1851 (BGA),"see below
Martin Luther
(1483-1546) (after Bible, Psalm XII) (Nos.1, 6)
Anonymous (Nos.2-5)",German,,2nd Sunday after Trinity,20 minutes,Baroque,Baroque,"https://imslp.org/wiki/Ach_Gott,_vom_Himmel_sieh_darein,_BWV_2_(Bach,_Johann_Sebastian)"
"Ach Gott, wie manches Herzeleid [I]","Ach Gott, wie manches Herzeleid BWV 3
;
Ach Gott, wie manches Herzeleid
;
Ach Gott
;
ああ神よ、いかに多き胸の悩み
;
Ach Gott, wie manches Herzeleid, רי""ב 3",,"WorldCat
;
Wikipedia
;
VIAF
:
173866382
;
LCCN
:
n82096216
;
GND
:
300006780
;
BNF
:
13909570v
;
BNE
:
XX5063099","Bach, Johann Sebastian",BWV 3 ; BC A 33,IJB 4,A major,"6 movements:
Chorus: Ach Gott, wie manches Herzeleid
Recitativo (tenor, soprano, alto, bass): Wie schwerlich lässt sich Fleisch und Blut
Aria (bass): Empfind ich Höllenangst und Pein
Recitativo (tenor): Es mag mir Leib und Geist verschmachten
Duet Aria (soprano, alto): Wenn Sorgen auf mich dringen
Chorale: Erhalt mein Herz im Glauben rein","1725 in Leipzig
First Perf
ormance
.
1725-01-14 in Leipzig",1851 (BGA),"see below
Martin Moller
(Mollerus) (1574–1606) (Nos.1, 2, 6)
Anonymous (Nos.3-5)",German,,2nd Sunday after Epiphany,25 minutes,Baroque,Baroque,"https://imslp.org/wiki/Ach_Gott,_wie_manches_Herzeleid,_BWV_3_(Bach,_Johann_Sebastian)"
