Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
Ballade No.3,"Ballade No. 3 in A-flat major, Op. 47
;
Ballade Nr. 3
;
Balada n.º 3 op.47
;
Ballata n. 3 op. 47
;
Balada em Lá bemol maior (Chopin)
;
バラード第3番 (ショパン)
;
Ballada op. 47 (Chopin)
;
발라드 3번
;
Μπαλάντα αρ. 3 σε Λα ύφεση μείζονα, έργο 47
;
Ballade N°3","Balada n.º 3
;
Op. 47","WorldCat
;
Wikipedia
;
VIAF
:
301552296
;
LCCN
:
no97074811
;
GND
:
300036787
;
BNF
:
14806066g","Chopin, Frédéric",Op.47,IFC 7,A-flat major,1 ballad (Allegretto),1841,1841,,A Mlle. Pauline de Noailles,,Romantic,Romantic,"https://imslp.org/wiki/Ballade_No.3,_Op.47_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Etudes,"Étude Op. 10, No. 10
;
연습곡 10번
;
Etiuda op. 10 nr 10
;
Studio op. 10 n. 10
;
Estudi op. 10
;
Этюд оп. 10 № 10
;
Étude Op. 10, Nr. 10
;
Σπουδή Op. 10, No. 10
;
練習曲作品10-10
;
Étude op. 10, n° 10
;
Estudio Op. 10, n.º 10",,"WorldCat
;
Wikipedia
;
VIAF
:
176005986
;
LCCN
:
no97074174
;
BNF
:
14818259f","Chopin, Frédéric",Op.10,"IFC 21
Movements/Sections
Mov'ts/Sec's
12 studies:
1. Etude in C major, 'Waterfall'
2. Etude in A minor, 'Chromatique'
3. Etude in E major, 'Tristesse'
4. Etude in C-sharp minor, 'Torrent'
5. Etude in G-flat major, 'Black",,"12 studies:
1. Etude in C major, 'Waterfall'
2. Etude in A minor, 'Chromatique'
3. Etude in E major, 'Tristesse'
4. Etude in C-sharp minor, 'Torrent'
5. Etude in G-flat major, 'Black Keys'
6. Etude in E-flat minor, 'Lament'
7. Etude in C major, 'Toccata'
8. Etude in F major, 'Sunshine'
9. Etude in F minor
10. Etude in A-flat major
11. Etude in E-flat major, 'Arpeggio'
12. Etude in C minor, 'Revolutionary'",1829-32,1833,,"Franz Liszt
(1811–1886)",,Romantic,Romantic,"https://imslp.org/wiki/%C3%89tudes,_Op.10_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Piano Sonata No.2,"第2号钢琴奏鸣曲
;
第2號鋼琴奏鳴曲
;
ピアノソナタ第2番
;
Klavirska sonata št. 2
;
II Sonata fortepianowa
;
Соната для фортепиано № 2
;
Sonate pour piano nº 2 de Rachmaninov
;
Sonata para piano n.º 2
;
Piano Sonata No. 2
;
Соната для фортепіано № 2
;
Sonata No. 2","降B小調第二號鋼琴奏鳴曲
;
Sergej Rahmaninov: Klavirska sonata št. 2
;
Sonate pour piano n° 2 de Rachmaninov
;
Sonata para piano n º 2
;
Sonata para piano n. 2
;
Sonata para piano n 2
;
Piano Sonata No. 2 in B-flat Minor, Op. 36","WorldCat
;
Wikipedia
;
VIAF
:
178948175
;
LCCN
:
nr93028908
;
NLA
:
35374009","Rachmaninoff, Sergei",Op.36,ISR 34,B-flat minor,"3 movements:
Allegro agitato (B
♭
minor)
Non allegro—Lento (E major–E major)
L'istesso tempo—Allegro molto (B
♭
major)","1913  —
1st version
1931 —
2nd version",1914,,"Matvey Presman
(1870–1941)",21 minutes,Romantic,Romantic,https://imslp.org/wiki/Piano_Sonata_No.2%2C_Op.36_(Rachmaninoff%2C_Sergei)
Barcarolle No.11,,,,"Fauré, Gabriel",Op.105,IGF 16,G minor,1 barcarolle,1913?,1914,,Laura Albéniz,,Romantic,Romantic,https://imslp.org/wiki/Barcarolle_No.11%2C_Op.105_(Faur%C3%A9%2C_Gabriel)
English Suite No.1,,,,"Bach, Johann Sebastian",BWV 806 ; BC L 13,IJB 113,A major,"10 movements:
1. Prélude
2. Allemande
3. Courante I
4. Courante II avec deux Doubles
4a. Double I
4b. Double II
5. Sarabande
6. Bourrée I
7. Bourrée II
8. Gigue",1715-23,"1805-13 in
6 English Suites
(No.1)",,,,Baroque,Baroque,https://imslp.org/wiki/English_Suite_No.1_in_A_major%2C_BWV_806_(Bach%2C_Johann_Sebastian)
Alexander Nevsky,"アレクサンドル・ネフスキー
;
Alexandre Nevski
;
Alexandr Nevski
;
Aleksandr Nevski
;
Aleksandr Nevskij
;
Александр Невский
;
Ալեքսանդր Նևսկի
;
Αλέξανδρος Νιέφσκι","Alexandr Nevsky
;
Alexander Nevskij","WorldCat
;
Wikipedia
;
VIAF
:
300778709
;
GND
:
1072160838
;
BNF
:
13917230h","Prokofiev, Sergey",Op.78,ISP 100,,"7 movements:
Russia Under the Mongolian Yoke (Русь под игом монгольским)
Song About Alexander Nevsky (Песня об Александре Невском)
The Crusaders in Pskov (Крестоносцы во Пскове)
Arise, Men of Russia (Вставайте, люди русские)
The Battle on Ice (Ледовое побоище)
The Field of the Dead (Мертвое поле)
Alexander's Entry into Pskov (Въезд Александра во Псков)","1938–39
First Perf
ormance
.
1939-05-17 in Moscow
Valentina Gagrina (mezzo-soprano),
Moscow Philharmonic Orchestra and Chorus, Sergey Prokofiev (conductor)","1941 - Moscow:
Muzgiz
Librettist
Vladimir Lugovskoy
(1901–1957) and the composer (1891–1953)
Language
Russian, Latin
Sung in Russian, but Prokofiev used Latin for the third and fifth movements.",,,45 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Alexander_Nevsky_(cantata),_Op.78_(Prokofiev,_Sergey)"
Autumnal,,,,"Prokofiev, Sergey",Op.8,ISP 2,,1,"1910, revised 1915, 1934
First Perf
ormance
.
1911-08-01 — Moscow: Aleksandr Medtner (conductor)","1964 — Moscow:
Sovetskii kompozitor",,,8 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Autumnal,_Op.8_(Prokofiev,_Sergey)"
Ballade,,,,"Prokofiev, Sergey",Op.15,ISP 3,C minor,1,"1912
First Perf
ormance
.
1914-02-05 in Moscow
Yevsey Belousov (cello), Sergey Prokofiev (piano)",1915 - St. Petersburg: J. Jurgenson,,,11 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Ballade,_Op.15_(Prokofiev,_Sergey)"
Betrothal in a Monastery,,,,"Prokofiev, Sergey",Op.86,ISP 110,,4 acts (9 scenes),"1940-43
First Perf
ormance
.
1946/11/3","1944 ca. (vocal score)
1967 ca.? (full score)
Librettist
Composer and
Mira Mendelson
(1915-1968)
after
Richard Brinsley Sheridan
(1751-1816)
Language
Russian",,,2 hours,Early 20th century,Early 20th century,"https://imslp.org/wiki/Betrothal_in_a_Monastery,_Op.86_(Prokofiev,_Sergey)"
Boris Godunov,,,,"Prokofiev, Sergey",Op.70bis,ISP 115,,,"1936
First Perf
ormance
.
1960?
Moscow: cond. Alexander Frolov (partial recording released)
1981
Recorded in full, cond. Edward Downes
2007
Princeton, N.J.: Staged with Pushkin's play","1973 ca.
Librettist
Aleksandr Pushkin
(1799-1837)
Language
Russian",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Boris_Godunov,_Op.70bis_(Prokofiev,_Sergey)"
Cantata for the 20th Anniversary of the October Revolution,,,,"Prokofiev, Sergey",Op.74,ISP 113,,"10 movements
Вступление «Призрак бродит по Европе, призрак коммунизма» (Introduction: ""A spectre is haunting Europe, the spectre of Communism"")
Философы (Philosophers)
Интерлюдия (Interlude)
Мы идём тесной кучкой (Marching in Close Ranks)
Интерлюдия (Interlude)
Революция (Revolution)
Победа (Victory)
Клятва Сталина (The Pledge)
Симфония (Symphony)
Конституция (The Constitution)","1936-37
First Perf
ormance
.
1966/4/5 (with cuts, see below)
Moscow: Great Hall of the Moscow Conservatory - cond. Kirill Kondrashin
1984/11/6 (full cantata with Stalin's texts included)","Unknown (by ca. 1970)
Published as a facsimile of a copyist's full score.
Librettist
Karl Marx
(1818-1883), tr.
Vladimir Adoratsky
(1878–1945), Russian text
Vladimir Lenin
(1870-1924)
Joseph Stalin
(1878-1953)
Language
Russia",,,45 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Cantata_for_the_20th_Anniversary_of_the_October_Revolution,_Op.74_(Prokofiev,_Sergey)"
